Year,Country,Energy_Consumption,Industrial_Production,Transportation,Weather_Patterns,Carbon_Emissions
2020,USA,4000,110,150,105,5200
2020,China,6000,150,300,110,9000
2020,India,3000,130,200,108,6500
2020,Germany,2500,120,100,107,3500
2020,Japan,2000,110,120,106,3000
2020,Brazil,1500,105,80,102,2200
2021,USA,4200,112,155,104,5300
2021,China,6100,152,310,109,9100
2021,India,3100,132,205,107,6600
2021,Germany,2600,122,105,106,3600
2021,Japan,2100,112,125,105,3100
2021,Brazil,1600,107,85,103,2300
2022,USA,4300,113,160,103,5400
2022,China,6200,153,320,108,9200
2022,India,3200,133,210,106,6700
2022,Germany,2700,123,110,105,3700
2022,Japan,2200,113,130,104,3200
2022,Brazil,1700,108,90,102,2400
2023,USA,4400,114,165,102,5500
2023,China,6300,154,330,107,9300
2023,India,3300,134,215,105,6800
2023,Germany,2800,124,115,104,3800
2023,Japan,2300,114,135,103,3300
2023,Brazil,1800,109,95,101,2500
2024,USA,4500,115,170,101,5600
2024,China,6400,155,340,106,9400
2024,India,3400,135,220,104,6900
2024,Germany,2900,125,120,103,3900
2024,Japan,2400,115,140,102,3400
2024,Brazil,1900,110,100,100,2600
2025,USA,4600,116,175,100,5700
2025,China,6500,156,350,105,9500
2025,India,3500,136,225,103,7000
2025,Germany,3000,126,125,102,4000
2025,Japan,2500,116,145,101,3500
2025,Brazil,2000,111,105,99,2700
2026,USA,4700,117,180,99,5800
2026,China,6600,157,360,104,9600
2026,India,3600,137,230,102,7100
2026,Germany,3100,127,130,101,4100
2026,Japan,2600,117,150,100,3600
2026,Brazil,2100,112,110,98,2800
2027,USA,4800,118,185,98,5900
2027,China,6700,158,370,103,9700
2027,India,3700,138,235,101,7200
2027,Germany,3200,128,135,100,4200
2027,Japan,2700,118,155,99,3700
2027,Brazil,2200,113,115,97,2900
2028,USA,4900,119,190,97,6000
2028,China,6800,159,380,102,9800
2028,India,3800,139,240,100,7300
2028,Germany,3300,129,140,99,4300
2028,Japan,2800,119,160,98,3800
2028,Brazil,2300,114,120,96,3000
2029,USA,5000,120,195,96,6100
2029,China,6900,160,390,101,9900
2029,India,3900,140,245,99,7400
2029,Germany,3400,130,145,98,4400
2029,Japan,2900,120,165,97,3900
2029,Brazil,2400,115,125,95,3100
2030,USA,5100,121,200,95,6200
2030,China,7000,161,400,100,10000
2030,India,4000,141,250,98,7500
2030,Germany,3500,131,150,97,4500
2030,Japan,3000,121,170,96,4000
2030,Brazil,2500,116,130,94,3200
